CO_count,CO_mean,CO_median,CO_stdDev,month,year,zone,date,season
1518,30.3506662290071,30.489856818105,2.0966104492036,7.0,2019.0,Middle_Mountains,2019-07-01,Monsoon
1518,28.2413428786335,28.358163955084702,2.0131793919744,8.0,2019.0,Middle_Mountains,2019-08-01,Monsoon
1518,29.1799478731323,29.3260159930718,2.0894533048209003,9.0,2019.0,Middle_Mountains,2019-09-01,Monsoon
1518,27.264744332341902,27.3742414018655,2.6478648543749,10.0,2019.0,Middle_Mountains,2019-10-01,Post-monsoon
1518,26.7352485321256,26.6668652293842,3.205443505092,11.0,2019.0,Middle_Mountains,2019-11-01,Post-monsoon
1518,25.0525814674444,24.8489713465741,2.933093809687,12.0,2019.0,Middle_Mountains,2019-12-01,Winter
1518,27.060273889187002,26.921408838474303,3.1143700836327,1.0,2020.0,Middle_Mountains,2020-01-01,Winter
1518,28.727629343323997,28.5104784676609,3.7304668331614,2.0,2020.0,Middle_Mountains,2020-02-01,Winter
1518,28.628393299557302,28.3885829920784,3.3981787881949,3.0,2020.0,Middle_Mountains,2020-03-01,Pre-monsoon
1518,31.655782157297203,31.3088119135441,3.9720969009736002,4.0,2020.0,Middle_Mountains,2020-04-01,Pre-monsoon
1518,32.1299201246277,32.1614087930434,3.2445348097591,5.0,2020.0,Middle_Mountains,2020-05-01,Pre-monsoon
1518,30.867220567807202,31.052074318913903,2.5377093677181,6.0,2020.0,Middle_Mountains,2020-06-01,Monsoon
1518,29.893618283511397,29.996966955349198,2.1048461025135,7.0,2020.0,Middle_Mountains,2020-07-01,Monsoon
1518,27.8515500549406,27.9803939768491,1.9031973248489,8.0,2020.0,Middle_Mountains,2020-08-01,Monsoon
1518,30.0419852138643,30.0559621082037,2.4327683695648,9.0,2020.0,Middle_Mountains,2020-09-01,Monsoon
1518,28.001759948717698,28.1062984653631,2.7816978171853,10.0,2020.0,Middle_Mountains,2020-10-01,Post-monsoon
1518,27.024392104654098,27.067743605964303,2.7722976913296,11.0,2020.0,Middle_Mountains,2020-11-01,Post-monsoon
1518,28.0390129548215,27.896205892076498,3.2132383006746,12.0,2020.0,Middle_Mountains,2020-12-01,Winter
1518,29.8547767323514,29.482189364967102,3.7940562640044,1.0,2021.0,Middle_Mountains,2021-01-01,Winter
1518,30.7551296914821,30.821347420796602,3.9046816215525,2.0,2021.0,Middle_Mountains,2021-02-01,Winter
1518,35.2659931805311,35.4965718606949,5.0576391131748,3.0,2021.0,Middle_Mountains,2021-03-01,Pre-monsoon
1518,40.569584341372796,40.419854993770706,6.9259940695439,4.0,2021.0,Middle_Mountains,2021-04-01,Pre-monsoon
1518,31.791539826736603,31.921274220483202,2.9558807437711,5.0,2021.0,Middle_Mountains,2021-05-01,Pre-monsoon
1518,30.7324028095089,30.8127642863385,2.6655233854411,6.0,2021.0,Middle_Mountains,2021-06-01,Monsoon
1518,29.3949444874921,29.443988772165397,2.2842863931837,7.0,2021.0,Middle_Mountains,2021-07-01,Monsoon
1518,30.582634346014,30.7339118609937,2.2385255335554,8.0,2021.0,Middle_Mountains,2021-08-01,Monsoon
1518,26.842887996018202,26.949543744603602,2.0375941339916,9.0,2021.0,Middle_Mountains,2021-09-01,Monsoon
1518,27.0085950561373,27.1297861250643,2.8255177165977,10.0,2021.0,Middle_Mountains,2021-10-01,Post-monsoon
