O3_count,O3_mean,O3_median,O3_stdDev,month,year,zone,date,season
1449,119.5304802151067,119.4896904082459,0.6997028165156923,9.0,2021.0,High_Mountains,2021-09-01,Monsoon
1449,115.34348149260789,115.3101995296532,0.8170872971284177,10.0,2021.0,High_Mountains,2021-10-01,Post-monsoon
1449,114.7265867254169,114.7631281868142,0.692876166871296,11.0,2021.0,High_Mountains,2021-11-01,Post-monsoon
1449,120.5628769557368,120.88438336519471,2.4629673307232998,12.0,2021.0,High_Mountains,2021-12-01,Winter
1449,124.7215181915291,124.8333346996083,1.1930142186566,1.0,2022.0,High_Mountains,2022-01-01,Winter
1449,130.81380647855858,130.7651429966207,1.3556658283806,2.0,2022.0,High_Mountains,2022-02-01,Winter
1449,124.6298535517271,124.7118829612085,1.1735904720360002,3.0,2022.0,High_Mountains,2022-03-01,Pre-monsoon
1449,127.4200931255437,127.3959575768231,0.9661431263298568,4.0,2022.0,High_Mountains,2022-04-01,Pre-monsoon
1449,125.41179453657281,125.35321724746152,0.9504554168770247,5.0,2022.0,High_Mountains,2022-05-01,Pre-monsoon
1449,125.08108247261279,124.9567593986754,0.9246288912218747,6.0,2022.0,High_Mountains,2022-06-01,Monsoon
1449,123.25699991612781,123.24741541421889,0.7075592446801969,7.0,2022.0,High_Mountains,2022-07-01,Monsoon
1449,120.9521557315288,120.8966594280322,0.6381076594810018,8.0,2022.0,High_Mountains,2022-08-01,Monsoon
1449,118.7405758935424,118.6989559848969,0.6921331451169698,9.0,2022.0,High_Mountains,2022-09-01,Monsoon
1449,117.2074843405347,117.2641094883924,1.1958938677820001,10.0,2022.0,High_Mountains,2022-10-01,Post-monsoon
1449,111.8929329428812,111.8592109424116,1.2669335640083998,11.0,2022.0,High_Mountains,2022-11-01,Post-monsoon
1449,111.03246631922201,110.9142810476911,0.971935895459882,12.0,2022.0,High_Mountains,2022-12-01,Winter
1449,111.4887920136806,111.3459386016227,1.0594240555776,1.0,2023.0,High_Mountains,2023-01-01,Winter
1449,115.6147181382579,116.0427853927762,1.7279383868588,2.0,2023.0,High_Mountains,2023-02-01,Winter
1449,122.36232699799771,122.3899631363918,1.0584142163783,3.0,2023.0,High_Mountains,2023-03-01,Pre-monsoon
1449,128.57792809767022,128.77282882259968,1.5884304705580998,4.0,2023.0,High_Mountains,2023-04-01,Pre-monsoon
1449,125.21936907634328,125.35091220292,1.6317820218927,5.0,2023.0,High_Mountains,2023-05-01,Pre-monsoon
1449,122.6834020238783,122.6019118794105,0.7831323191930472,6.0,2023.0,High_Mountains,2023-06-01,Monsoon
1449,120.1111157728636,120.0713504471614,0.6146594663816914,7.0,2023.0,High_Mountains,2023-07-01,Monsoon
1449,117.6773245776474,117.5935858941028,0.6266782321221523,8.0,2023.0,High_Mountains,2023-08-01,Monsoon
1449,119.73596871023099,119.6403674838864,0.6831193637170403,9.0,2023.0,High_Mountains,2023-09-01,Monsoon
1449,118.56950600972719,118.5176639036873,0.8228707872378602,10.0,2023.0,High_Mountains,2023-10-01,Post-monsoon
1449,119.68589527315581,119.79573995306669,1.057194332802,11.0,2023.0,High_Mountains,2023-11-01,Post-monsoon
1449,122.9044404536004,123.24416532443561,1.4474626800936,12.0,2023.0,High_Mountains,2023-12-01,Winter
1449,129.1979212935852,129.5482158803883,1.5533650806165,1.0,2024.0,High_Mountains,2024-01-01,Winter
1449,132.1838760866981,133.08544744604887,3.1395714656442,2.0,2024.0,High_Mountains,2024-02-01,Winter
1449,126.73833983975119,126.802694478625,1.9627322942689,3.0,2024.0,High_Mountains,2024-03-01,Pre-monsoon
1449,136.61584818134222,136.6876562962511,1.8799910448954,4.0,2024.0,High_Mountains,2024-04-01,Pre-monsoon
1449,130.0583515211238,129.9860549197595,1.2470153625865001,5.0,2024.0,High_Mountains,2024-05-01,Pre-monsoon
1449,125.77070834235349,125.7134344615153,0.8715789711707849,6.0,2024.0,High_Mountains,2024-06-01,Monsoon
1449,120.419162301339,120.4080597016298,0.8687161949747911,7.0,2024.0,High_Mountains,2024-07-01,Monsoon
1449,120.3211489727495,120.2532405710671,0.6496624934207645,8.0,2024.0,High_Mountains,2024-08-01,Monsoon
1449,119.303674850801,119.2447469374457,0.808872496116097,9.0,2024.0,High_Mountains,2024-09-01,Monsoon
1449,116.5234647622211,116.4762781185372,0.8873102874662556,10.0,2024.0,High_Mountains,2024-10-01,Post-monsoon
1449,114.1503853044744,114.1778419621506,0.8619998972344853,11.0,2024.0,High_Mountains,2024-11-01,Post-monsoon
1449,115.7856699396596,115.5244829834014,1.5929801640812,12.0,2024.0,High_Mountains,2024-12-01,Winter
1449,117.5998772681973,117.72110577976109,1.2971636591722,1.0,2025.0,High_Mountains,2025-01-01,Winter
1449,127.35581983525579,127.51708959908689,1.2516106787038,2.0,2025.0,High_Mountains,2025-02-01,Winter
1449,126.81113713448761,126.904307729456,1.5754705128443,3.0,2025.0,High_Mountains,2025-03-01,Pre-monsoon
1449,128.7464889428863,128.6783681571361,0.8107775177965036,4.0,2025.0,High_Mountains,2025-04-01,Pre-monsoon
1449,126.84621912011521,126.75559033760261,0.9199484023690928,5.0,2025.0,High_Mountains,2025-05-01,Pre-monsoon
1449,123.2827214231018,123.1540080434249,0.813481119026137,6.0,2025.0,High_Mountains,2025-06-01,Monsoon
1449,121.2558040981661,121.1999940807093,0.6028282617589171,7.0,2025.0,High_Mountains,2025-07-01,Monsoon
1449,119.16965562944989,119.1010534823603,0.6069844351094931,8.0,2025.0,High_Mountains,2025-08-01,Monsoon
1449,117.9473480197001,117.8474933552891,0.8258845374406198,9.0,2025.0,High_Mountains,2025-09-01,Monsoon
1449,118.1702200448197,118.1470033654985,0.7575679848160197,10.0,2025.0,High_Mountains,2025-10-01,Post-monsoon
1449,111.4119984241397,111.4054439332314,0.8659541558463824,11.0,2025.0,High_Mountains,2025-11-01,Post-monsoon
1449,109.35974720226679,109.32986048996291,0.7014631413422618,12.0,2025.0,High_Mountains,2025-12-01,Winter
1449,116.0934306165458,115.9541746405449,1.5595398655021,1.0,2026.0,High_Mountains,2026-01-01,Winter
1449,124.1739972545903,124.15738898518,1.4528919320607,2.0,2026.0,High_Mountains,2026-02-01,Winter
1449,125.0834455932591,125.076367167303,0.9875658820559985,3.0,2026.0,High_Mountains,2026-03-01,Pre-monsoon
1449,128.7310167033413,128.7526188412341,1.3145822437772,4.0,2026.0,High_Mountains,2026-04-01,Pre-monsoon
1449,128.8971369999036,128.8287987486951,0.7914346992643553,5.0,2026.0,High_Mountains,2026-05-01,Pre-monsoon
1449,127.1257443405558,127.03267757842221,0.9341846483679564,6.0,2026.0,High_Mountains,2026-06-01,Monsoon
1449,123.6877417466051,123.6800000918974,0.6055979475462188,7.0,2026.0,High_Mountains,2026-07-01,Monsoon
1449,123.631567581134,123.641425874494,1.2632969391304,8.0,2026.0,High_Mountains,2026-08-01,Monsoon
1518,113.6907921807057,114.53035356963059,2.9320190615250996,1.0,2019.0,Middle_Mountains,2019-01-01,Winter
1518,111.4173108238701,111.2914834823632,2.6727007699967,2.0,2019.0,Middle_Mountains,2019-02-01,Winter
1518,118.75234259915949,118.8019587996955,2.2603215518385,3.0,2019.0,Middle_Mountains,2019-03-01,Pre-monsoon
1518,121.9378863891999,121.9642225584065,1.0816653138610999,4.0,2019.0,Middle_Mountains,2019-04-01,Pre-monsoon
1518,121.6801225144295,121.79316217651589,1.5251700505027002,5.0,2019.0,Middle_Mountains,2019-05-01,Pre-monsoon
1518,124.1459111906841,124.2224196120202,1.2990480475954,6.0,2019.0,Middle_Mountains,2019-06-01,Monsoon
1518,122.4341286999304,122.4551329445312,0.9685687462254904,7.0,2019.0,Middle_Mountains,2019-07-01,Monsoon
1518,120.67873203373219,120.7111845497527,0.8271774655455892,8.0,2019.0,Middle_Mountains,2019-08-01,Monsoon
1518,117.21691900958609,117.17240584693509,1.0998513434779,9.0,2019.0,Middle_Mountains,2019-09-01,Monsoon
1518,117.29978448831679,117.2630329344926,1.0290354774694999,10.0,2019.0,Middle_Mountains,2019-10-01,Post-monsoon
1518,110.16801384826951,110.0613096994116,1.2674278121377,11.0,2019.0,Middle_Mountains,2019-11-01,Post-monsoon
1518,122.12162717187431,121.25553421619931,3.4167453120827003,12.0,2019.0,Middle_Mountains,2019-12-01,Winter
1518,124.20913724826151,125.22185393297269,2.829929907339,1.0,2020.0,Middle_Mountains,2020-01-01,Winter
1518,131.4643691859094,131.6231435593713,2.0270954822389,2.0,2020.0,Middle_Mountains,2020-02-01,Winter
1518,131.1109770615189,131.2464432742206,1.0821143012686,3.0,2020.0,Middle_Mountains,2020-03-01,Pre-monsoon
1518,133.6458927679865,133.7106376386273,0.7775111510064084,4.0,2020.0,Middle_Mountains,2020-04-01,Pre-monsoon
1518,126.8926968421564,127.041773800344,1.4321045887226,5.0,2020.0,Middle_Mountains,2020-05-01,Pre-monsoon
1518,120.3205674221004,120.3148839449308,1.2029923630364,6.0,2020.0,Middle_Mountains,2020-06-01,Monsoon
1518,117.6510184698049,117.6048250228082,0.9471355804047847,7.0,2020.0,Middle_Mountains,2020-07-01,Monsoon
1518,116.3897559911395,116.4109739706731,0.7988490896632499,8.0,2020.0,Middle_Mountains,2020-08-01,Monsoon
1518,116.9156551883724,116.9007658407589,0.9756801051124672,9.0,2020.0,Middle_Mountains,2020-09-01,Monsoon
1518,111.8200074323721,111.8304951844902,0.9626360912494653,10.0,2020.0,Middle_Mountains,2020-10-01,Post-monsoon
1518,117.5300569167188,117.5694490868325,0.8269490028645295,11.0,2020.0,Middle_Mountains,2020-11-01,Post-monsoon
1518,115.0585654920912,114.94245896162731,0.7460823065089187,12.0,2020.0,Middle_Mountains,2020-12-01,Winter
1518,111.2683107763399,111.3726210300206,1.4524965938722,1.0,2021.0,Middle_Mountains,2021-01-01,Winter
1518,126.196811868589,126.3117627807889,1.2648944129295,2.0,2021.0,Middle_Mountains,2021-02-01,Winter
1518,123.74033602173901,123.92978573149779,1.6808082799805,3.0,2021.0,Middle_Mountains,2021-03-01,Pre-monsoon
1518,128.8770495364442,129.31113501312979,1.938102329463,4.0,2021.0,Middle_Mountains,2021-04-01,Pre-monsoon
1518,125.1489733594022,125.0324022804623,1.4806727849123,5.0,2021.0,Middle_Mountains,2021-05-01,Pre-monsoon
1518,122.8976439637234,122.8815518826405,1.2098126080364,6.0,2021.0,Middle_Mountains,2021-06-01,Monsoon
1518,123.50409065335539,123.5533375187566,0.9327748389387789,7.0,2021.0,Middle_Mountains,2021-07-01,Monsoon
1518,121.1621422402937,121.1070874722965,1.0075088454489,8.0,2021.0,Middle_Mountains,2021-08-01,Monsoon
1518,121.1092845128028,121.10784159766449,0.887433696903966,9.0,2021.0,Middle_Mountains,2021-09-01,Monsoon
1518,117.50093130267871,117.44593928425489,1.1215039100824,10.0,2021.0,Middle_Mountains,2021-10-01,Post-monsoon
1518,116.2132838248488,116.16347814558151,0.7763515506957789,11.0,2021.0,Middle_Mountains,2021-11-01,Post-monsoon
1518,120.662203646861,120.3986709450708,2.4293327686143,12.0,2021.0,Middle_Mountains,2021-12-01,Winter
1518,125.4207708712089,125.6880461523839,1.1090927868208,1.0,2022.0,Middle_Mountains,2022-01-01,Winter
1518,131.9194766363314,131.943510367822,1.1682925130141,2.0,2022.0,Middle_Mountains,2022-02-01,Winter
1518,127.113535404556,127.0920266872968,1.1500506582557,3.0,2022.0,Middle_Mountains,2022-03-01,Pre-monsoon
1518,129.8425358360399,129.8925831751322,1.1664080700417998,4.0,2022.0,Middle_Mountains,2022-04-01,Pre-monsoon
1518,128.1719907004662,128.18561804161192,1.3044278160945,5.0,2022.0,Middle_Mountains,2022-05-01,Pre-monsoon
1518,127.8011510501094,127.8539848473837,1.1727178926148,6.0,2022.0,Middle_Mountains,2022-06-01,Monsoon
1518,124.8862913942004,124.8919111661044,0.8337617253267746,7.0,2022.0,Middle_Mountains,2022-07-01,Monsoon
1518,122.8584752423525,122.9134369492505,0.8352913350464277,8.0,2022.0,Middle_Mountains,2022-08-01,Monsoon
1518,120.4639699008075,120.4352129116758,0.9046719282713408,9.0,2022.0,Middle_Mountains,2022-09-01,Monsoon
1518,118.64023100639271,118.7322302225292,1.3162798716673,10.0,2022.0,Middle_Mountains,2022-10-01,Post-monsoon
1518,113.02741016300851,112.90142645893519,1.2706365990971,11.0,2022.0,Middle_Mountains,2022-11-01,Post-monsoon
1518,111.6304263590773,111.4627885980244,1.0087153445561001,12.0,2022.0,Middle_Mountains,2022-12-01,Winter
1518,112.6217645690738,112.4431406120834,1.2700002066401002,1.0,2023.0,Middle_Mountains,2023-01-01,Winter
1518,116.1834248476972,116.4424518280355,1.7344447470223001,2.0,2023.0,Middle_Mountains,2023-02-01,Winter
1518,124.0145493469262,124.0375491696854,1.0741362914271,3.0,2023.0,Middle_Mountains,2023-03-01,Pre-monsoon
1518,130.2806265127185,130.1541868966309,1.6258747415259,4.0,2023.0,Middle_Mountains,2023-04-01,Pre-monsoon
1518,127.10651504645101,127.1022560373605,1.6759270445401,5.0,2023.0,Middle_Mountains,2023-05-01,Pre-monsoon
1518,125.11588096882332,125.1651171104145,1.0930889496132,6.0,2023.0,Middle_Mountains,2023-06-01,Monsoon
1518,121.7905739429854,121.77871098075629,0.7750169742611855,7.0,2023.0,Middle_Mountains,2023-07-01,Monsoon
1518,119.5921935665644,119.55232975729629,0.8459303282280715,8.0,2023.0,Middle_Mountains,2023-08-01,Monsoon
1518,121.6302620011501,121.5981721507175,0.9404233710288188,9.0,2023.0,Middle_Mountains,2023-09-01,Monsoon
1518,120.1874859858566,120.1002519523546,1.1308918358039,10.0,2023.0,Middle_Mountains,2023-10-01,Post-monsoon
1518,120.8170483423417,120.8053841456816,1.2207824392419,11.0,2023.0,Middle_Mountains,2023-11-01,Post-monsoon
1518,123.0261753569262,122.83761248470749,1.4373268374595,12.0,2023.0,Middle_Mountains,2023-12-01,Winter
1518,129.1794749901374,129.4999964498037,1.5151567888091,1.0,2024.0,Middle_Mountains,2024-01-01,Winter
1518,131.68281272917508,131.6182438695643,3.3848684779664002,2.0,2024.0,Middle_Mountains,2024-02-01,Winter
1518,127.82761782832011,127.65243691829761,1.8115273440384,3.0,2024.0,Middle_Mountains,2024-03-01,Pre-monsoon
1518,137.8708858324936,137.6764419549117,2.0586156958183,4.0,2024.0,Middle_Mountains,2024-04-01,Pre-monsoon
1518,132.1909330406446,132.0543120091304,1.4302830406293,5.0,2024.0,Middle_Mountains,2024-05-01,Pre-monsoon
1518,128.19586997702731,128.15860712682812,1.1091147028646,6.0,2024.0,Middle_Mountains,2024-06-01,Monsoon
1518,121.8616771527124,121.9063046185763,0.9923400401339315,7.0,2024.0,Middle_Mountains,2024-07-01,Monsoon
1518,121.94035654852189,121.9019488227544,0.8491668162274049,8.0,2024.0,Middle_Mountains,2024-08-01,Monsoon
1518,120.9327322648686,120.9579718172927,0.9690371855193468,9.0,2024.0,Middle_Mountains,2024-09-01,Monsoon
1518,118.13571522035011,118.1486651563567,1.1518217233548,10.0,2024.0,Middle_Mountains,2024-10-01,Post-monsoon
1518,115.3794684084711,115.3692060710486,1.1417694563355998,11.0,2024.0,Middle_Mountains,2024-11-01,Post-monsoon
1518,116.44492315496389,116.10004172865419,1.5636926304513001,12.0,2024.0,Middle_Mountains,2024-12-01,Winter
1518,118.416460542394,118.4829820970445,1.4074370123261002,1.0,2025.0,Middle_Mountains,2025-01-01,Winter
1518,127.7078850883641,127.8523547847451,1.4043101158294,2.0,2025.0,Middle_Mountains,2025-02-01,Winter
1518,128.1805882574964,127.9623952837322,1.7496193666953,3.0,2025.0,Middle_Mountains,2025-03-01,Pre-monsoon
1518,130.87285989982232,130.9034102106587,0.9803545470105484,4.0,2025.0,Middle_Mountains,2025-04-01,Pre-monsoon
1518,129.5183848715939,129.5318196926419,1.1750123086192001,5.0,2025.0,Middle_Mountains,2025-05-01,Pre-monsoon
1518,125.6014933439941,125.5658104769978,1.0422135186805999,6.0,2025.0,Middle_Mountains,2025-06-01,Monsoon
1518,123.0443122885237,123.0325437775118,0.8225283313200454,7.0,2025.0,Middle_Mountains,2025-07-01,Monsoon
1518,120.9863589841952,121.0183335951034,0.8291857245099638,8.0,2025.0,Middle_Mountains,2025-08-01,Monsoon
1518,119.8472757129701,119.82643170592,1.0283297601674002,9.0,2025.0,Middle_Mountains,2025-09-01,Monsoon
1518,120.23784353395101,120.2561777340308,0.9185344981114129,10.0,2025.0,Middle_Mountains,2025-10-01,Post-monsoon
1518,112.42726293496209,112.41074048444,0.797796821047294,11.0,2025.0,Middle_Mountains,2025-11-01,Post-monsoon
1518,110.6323318667323,110.5513087273645,0.8450789379618112,12.0,2025.0,Middle_Mountains,2025-12-01,Winter
1518,116.66506885527619,116.58557702951609,1.5639232614105,1.0,2026.0,Middle_Mountains,2026-01-01,Winter
1518,125.0817733875823,125.10562889462459,1.4127397681993001,2.0,2026.0,Middle_Mountains,2026-02-01,Winter
1518,126.94850361013049,126.9969122988327,0.967344694090412,3.0,2026.0,Middle_Mountains,2026-03-01,Pre-monsoon
1518,130.10131620792708,130.2215430674542,1.5041436326636999,4.0,2026.0,Middle_Mountains,2026-04-01,Pre-monsoon
1518,131.13710502002928,131.0917003182433,1.0310912693968,5.0,2026.0,Middle_Mountains,2026-05-01,Pre-monsoon
1518,129.9892091087373,129.95784615378912,1.1765136885822,6.0,2026.0,Middle_Mountains,2026-06-01,Monsoon
1518,125.53811386886879,125.5390423487621,0.8672451689233087,7.0,2026.0,Middle_Mountains,2026-07-01,Monsoon
1518,124.3909521985979,124.3086799714225,1.2441866936004,8.0,2026.0,Middle_Mountains,2026-08-01,Monsoon
2100,114.0859944618704,114.838535255621,2.5690092621516,1.0,2019.0,Siwalik,2019-01-01,Winter
2100,112.147404612429,112.2144370252841,2.1530399833739,2.0,2019.0,Siwalik,2019-02-01,Winter
2100,119.64452848848741,119.7790221523044,1.6829499585605001,3.0,2019.0,Siwalik,2019-03-01,Pre-monsoon
2100,123.7866699655932,123.7946053785827,0.8989593756197073,4.0,2019.0,Siwalik,2019-04-01,Pre-monsoon
2100,123.4633558226898,123.6710254308396,1.1607923948468,5.0,2019.0,Siwalik,2019-05-01,Pre-monsoon
2100,126.0983681045289,126.1418065534777,0.8942544692394561,6.0,2019.0,Siwalik,2019-06-01,Monsoon
2100,123.6611372799903,123.6727731219375,0.7679344201907251,7.0,2019.0,Siwalik,2019-07-01,Monsoon
2100,122.17294749981029,122.1760980910555,0.5985592793410935,8.0,2019.0,Siwalik,2019-08-01,Monsoon
2100,118.2970886796465,118.2088335018654,0.8153964649541123,9.0,2019.0,Siwalik,2019-09-01,Monsoon
2100,118.7116926514467,118.73033689348959,0.8598976686682382,10.0,2019.0,Siwalik,2019-10-01,Post-monsoon
2100,111.38194228547391,111.4641265553891,1.0214064566004,11.0,2019.0,Siwalik,2019-11-01,Post-monsoon
2100,122.0901482812897,121.3612755429391,2.8947830031318,12.0,2019.0,Siwalik,2019-12-01,Winter
2100,124.202818383279,124.6046897669021,2.2824790356369,1.0,2020.0,Siwalik,2020-01-01,Winter
2100,131.6330752777824,131.6351649496192,1.7741040589471,2.0,2020.0,Siwalik,2020-02-01,Winter
2100,132.332514460478,132.3408212950764,0.8189901781283954,3.0,2020.0,Siwalik,2020-03-01,Pre-monsoon
2100,134.71646329975408,134.7524371557244,0.6573891835579027,4.0,2020.0,Siwalik,2020-04-01,Pre-monsoon
2100,128.6934810813343,128.956074494897,1.3097829756519,5.0,2020.0,Siwalik,2020-05-01,Pre-monsoon
