Pollutant,Zone,Period,Mean,PctChange_vs_Baseline
HCHO,High_Himal,Post-Lockdown 2020 (Jul–Dec 2020),74.7017,19.39
HCHO,High_Mountains,Post-Lockdown 2020 (Jul–Dec 2020),83.2058,41.23
HCHO,Middle_Mountains,Post-Lockdown 2020 (Jul–Dec 2020),97.5741,9.03
HCHO,Siwalik,Post-Lockdown 2020 (Jul–Dec 2020),124.3912,-8.11
HCHO,Terai,Post-Lockdown 2020 (Jul–Dec 2020),167.4587,-6.82
HCHO,High_Himal,Rebound 2021 (Jan–Dec 2021),76.6624,22.52
HCHO,High_Mountains,Rebound 2021 (Jan–Dec 2021),81.204,37.83
HCHO,Middle_Mountains,Rebound 2021 (Jan–Dec 2021),103.705,15.89
HCHO,Siwalik,Rebound 2021 (Jan–Dec 2021),143.5911,6.08
HCHO,Terai,Rebound 2021 (Jan–Dec 2021),184.8495,2.86
HCHO,High_Himal,Post-Rebound (2022–2026),69.4657,11.02
HCHO,High_Mountains,Post-Rebound (2022–2026),75.0317,27.35
HCHO,Middle_Mountains,Post-Rebound (2022–2026),103.6359,15.81
HCHO,Siwalik,Post-Rebound (2022–2026),149.868,10.71
HCHO,Terai,Post-Rebound (2022–2026),197.2864,9.78
UVAI,High_Himal,Pre-Lockdown (Jan 2019–Feb 2020),-0.514,0.0
UVAI,High_Mountains,Pre-Lockdown (Jan 2019–Feb 2020),-0.864,0.0
UVAI,Middle_Mountains,Pre-Lockdown (Jan 2019–Feb 2020),-1.2143,0.0
UVAI,Siwalik,Pre-Lockdown (Jan 2019–Feb 2020),-1.2488,0.0
UVAI,Terai,Pre-Lockdown (Jan 2019–Feb 2020),-1.0316,0.0
UVAI,High_Himal,Lockdown (Mar–Jun 2020),-0.4724,8.1
UVAI,High_Mountains,Lockdown (Mar–Jun 2020),-0.8882,-2.8
UVAI,Middle_Mountains,Lockdown (Mar–Jun 2020),-1.3712,-12.92
UVAI,Siwalik,Lockdown (Mar–Jun 2020),-1.469,-17.63
UVAI,Terai,Lockdown (Mar–Jun 2020),-1.2917,-25.22
UVAI,High_Himal,Post-Lockdown 2020 (Jul–Dec 2020),-0.9352,-81.94
UVAI,High_Mountains,Post-Lockdown 2020 (Jul–Dec 2020),-1.2648,-46.39
UVAI,Middle_Mountains,Post-Lockdown 2020 (Jul–Dec 2020),-1.4337,-18.07
UVAI,Siwalik,Post-Lockdown 2020 (Jul–Dec 2020),-1.5837,-26.81
UVAI,Terai,Post-Lockdown 2020 (Jul–Dec 2020),-1.5215,-47.49
UVAI,High_Himal,Rebound 2021 (Jan–Dec 2021),-0.6572,-27.85
UVAI,High_Mountains,Rebound 2021 (Jan–Dec 2021),-0.9564,-10.69
UVAI,Middle_Mountains,Rebound 2021 (Jan–Dec 2021),-1.0531,13.28
UVAI,Siwalik,Rebound 2021 (Jan–Dec 2021),-1.0191,18.4
UVAI,Terai,Rebound 2021 (Jan–Dec 2021),-0.8159,20.91
UVAI,High_Himal,Post-Rebound (2022–2026),-0.2468,51.99
UVAI,High_Mountains,Post-Rebound (2022–2026),-0.4996,42.18
UVAI,Middle_Mountains,Post-Rebound (2022–2026),-0.5397,55.55
UVAI,Siwalik,Post-Rebound (2022–2026),-0.4716,62.24
UVAI,Terai,Post-Rebound (2022–2026),-0.2245,78.24
