SO2_count,SO2_mean,SO2_median,SO2_stdDev,month,year,zone,date,season
664,-15.08779328971776,-12.290863550894331,141.2205074241351,5.0,2021.0,High_Mountains,2021-05-01,Pre-monsoon
814,5.364161429972796,10.693456463084509,126.26851016598174,6.0,2021.0,High_Mountains,2021-06-01,Monsoon
997,5.1907024086016325,-3.8861450353725053,184.17266419270797,7.0,2021.0,High_Mountains,2021-07-01,Monsoon
849,1.4403546997983974,12.084720830890344,150.27267407433874,8.0,2021.0,High_Mountains,2021-08-01,Monsoon
1014,-7.017999289239631,-11.896687510082362,120.20973511455242,9.0,2021.0,High_Mountains,2021-09-01,Monsoon
1405,45.755829228780485,49.75790499486096,116.90056405141293,10.0,2021.0,High_Mountains,2021-10-01,Post-monsoon
1066,166.03022757797825,145.04418450877995,200.90315359159453,11.0,2021.0,High_Mountains,2021-11-01,Post-monsoon
588,330.43479070056964,300.4661230588434,390.3271204863552,12.0,2021.0,High_Mountains,2021-12-01,Winter
148,373.77834227812315,251.81293437541652,634.6554691428871,1.0,2022.0,High_Mountains,2022-01-01,Winter
127,252.0985582325211,173.16798290447343,502.1884500055504,2.0,2022.0,High_Mountains,2022-02-01,Winter
449,-15.54925717322619,-22.5824891234512,270.9042772441441,3.0,2022.0,High_Mountains,2022-03-01,Pre-monsoon
1230,-7.628700264048731,-3.900535849101521,151.06100836869663,4.0,2022.0,High_Mountains,2022-04-01,Pre-monsoon
1131,-3.841822447865389,-8.412120551784465,180.34113574076585,5.0,2022.0,High_Mountains,2022-05-01,Pre-monsoon
1156,6.166655813313512,-3.791934522046476,148.4685420534367,6.0,2022.0,High_Mountains,2022-06-01,Monsoon
1282,2.6250436189663584,4.015657472916862,114.46624582316359,7.0,2022.0,High_Mountains,2022-07-01,Monsoon
1378,-1.4956999940160307,-1.6532472654759933,83.49845636483022,8.0,2022.0,High_Mountains,2022-08-01,Monsoon
1180,-10.565197247046832,-12.038759850568526,127.2242429891556,9.0,2022.0,High_Mountains,2022-09-01,Monsoon
1189,38.43503249648306,38.000825706768694,188.3842014293933,10.0,2022.0,High_Mountains,2022-10-01,Post-monsoon
987,141.9089214239891,130.80463253455378,257.15594045287804,11.0,2022.0,High_Mountains,2022-11-01,Post-monsoon
1023,186.99104262289984,176.24293016186928,222.51850991865376,12.0,2022.0,High_Mountains,2022-12-01,Winter
963,240.3323678741121,220.6925857816205,255.4393081946641,1.0,2023.0,High_Mountains,2023-01-01,Winter
720,83.24146392855512,68.47124807376004,245.1454603671514,2.0,2023.0,High_Mountains,2023-02-01,Winter
603,4.4401212874979,-5.0377187691708025,173.88533411269194,3.0,2023.0,High_Mountains,2023-03-01,Pre-monsoon
651,-3.756764300125368,-19.13559268042783,171.98318584209466,4.0,2023.0,High_Mountains,2023-04-01,Pre-monsoon
878,-4.062453058904849,3.9241610148243686,179.88914212419334,5.0,2023.0,High_Mountains,2023-05-01,Pre-monsoon
1308,-12.819919306380315,-11.561213640584015,114.32804105915672,6.0,2023.0,High_Mountains,2023-06-01,Monsoon
1185,-16.025457589308918,-7.4726561870001875,163.1642247322415,7.0,2023.0,High_Mountains,2023-07-01,Monsoon
1131,0.5241029108049519,3.426607532117448,152.2277966402957,8.0,2023.0,High_Mountains,2023-08-01,Monsoon
1330,8.963557033498102,4.480491317597023,140.792038883719,9.0,2023.0,High_Mountains,2023-09-01,Monsoon
1304,23.06662211844387,27.052569268167705,163.1842477059178,10.0,2023.0,High_Mountains,2023-10-01,Post-monsoon
1057,155.5952119324356,144.11630009474968,250.19670730286998,11.0,2023.0,High_Mountains,2023-11-01,Post-monsoon
542,312.19079359741687,289.88983217202446,458.39566681116753,12.0,2023.0,High_Mountains,2023-12-01,Winter
503,281.1840209233924,295.22302983740684,374.38480524038965,1.0,2024.0,High_Mountains,2024-01-01,Winter
240,162.37578664075133,111.11851946854549,522.1794015747774,2.0,2024.0,High_Mountains,2024-02-01,Winter
517,5.327049556906125,-7.522791019810171,271.1872628318621,3.0,2024.0,High_Mountains,2024-03-01,Pre-monsoon
908,-8.83523621311498,-26.716201228171233,173.24771898353512,4.0,2024.0,High_Mountains,2024-04-01,Pre-monsoon
1280,-12.835042383892763,-22.217139451539214,162.1971493850451,5.0,2024.0,High_Mountains,2024-05-01,Pre-monsoon
1222,-10.968633498097065,-18.96760284485648,120.14312339915216,6.0,2024.0,High_Mountains,2024-06-01,Monsoon
1198,-7.212138195193928,-3.910741162549937,135.75567000067,7.0,2024.0,High_Mountains,2024-07-01,Monsoon
1261,-29.82863085884239,-26.276272663480878,165.3941243727236,8.0,2024.0,High_Mountains,2024-08-01,Monsoon
1243,5.415781232601076,3.7392394014423678,120.095545660203,9.0,2024.0,High_Mountains,2024-09-01,Monsoon
1377,48.34478391295571,38.137352015560204,165.992827055108,10.0,2024.0,High_Mountains,2024-10-01,Post-monsoon
1401,21.48339319403041,22.710343859377563,165.50974573836595,11.0,2024.0,High_Mountains,2024-11-01,Post-monsoon
1351,17.597007167609167,7.922590350702072,158.47579909018452,12.0,2024.0,High_Mountains,2024-12-01,Winter
798,-1.1435940095045476,7.9913674784330135,173.85430555953747,1.0,2025.0,High_Mountains,2025-01-01,Winter
891,-4.4930823592885165,3.58131758124018,117.80958442827931,2.0,2025.0,High_Mountains,2025-02-01,Winter
655,11.588385133415466,7.037700988553133,187.83813961998416,3.0,2025.0,High_Mountains,2025-03-01,Pre-monsoon
1063,-5.120022930395788,-1.541040560026176,74.69747330969382,4.0,2025.0,High_Mountains,2025-04-01,Pre-monsoon
1047,12.472502453677116,9.34236130674451,73.57145645475185,5.0,2025.0,High_Mountains,2025-05-01,Pre-monsoon
1225,8.655893443678503,11.412208890653371,89.42065394759884,6.0,2025.0,High_Mountains,2025-06-01,Monsoon
1108,9.344753345115615,5.5077816154379144,78.68115019647925,7.0,2025.0,High_Mountains,2025-07-01,Monsoon
698,1.8503803251177289,3.9449837586059058,94.17161195586463,8.0,2025.0,High_Mountains,2025-08-01,Monsoon
1149,-17.949313154421827,-17.225343573882334,74.68706506936883,9.0,2025.0,High_Mountains,2025-09-01,Monsoon
1330,0.7994224100386076,2.2710490020224436,76.30646142091432,10.0,2025.0,High_Mountains,2025-10-01,Post-monsoon
979,19.450026616828644,-30.49262971119386,435.7726270860193,11.0,2025.0,High_Mountains,2025-11-01,Post-monsoon
1044,-8.249184223123676,-7.677587742494666,149.2253757909301,12.0,2025.0,High_Mountains,2025-12-01,Winter
968,5.4419823066323065,-8.247672068085977,169.08773596922953,1.0,2026.0,High_Mountains,2026-01-01,Winter
473,-19.749077674138682,-18.93704814105493,137.38990266890607,2.0,2026.0,High_Mountains,2026-02-01,Winter
917,-26.60127306806374,-18.70193118994185,126.5611901619121,3.0,2026.0,High_Mountains,2026-03-01,Pre-monsoon
970,-19.98966538239632,-17.084064170506405,86.3623446304239,4.0,2026.0,High_Mountains,2026-04-01,Pre-monsoon
919,4.4277088864857825,4.157787838818432,96.37478497485617,5.0,2026.0,High_Mountains,2026-05-01,Pre-monsoon
1116,22.373667234119768,18.971344046923143,81.93521025357393,6.0,2026.0,High_Mountains,2026-06-01,Monsoon
753,14.699309286391921,13.921781405176631,78.78935762722037,7.0,2026.0,High_Mountains,2026-07-01,Monsoon
331,8.201577333726268,16.32020390353897,73.8950876920409,8.0,2026.0,High_Mountains,2026-08-01,Monsoon
1441,145.90401399900028,144.95781076792056,197.68220964394826,1.0,2019.0,Middle_Mountains,2019-01-01,Winter
1345,46.35391348445277,50.34990387954027,151.31143115525842,2.0,2019.0,Middle_Mountains,2019-02-01,Winter
1283,44.33151660164696,42.15710102277328,110.13152421013828,3.0,2019.0,Middle_Mountains,2019-03-01,Pre-monsoon
1305,13.161581476437744,11.660130993662841,97.42011998488805,4.0,2019.0,Middle_Mountains,2019-04-01,Pre-monsoon
1425,4.988229954795556,-3.203929360538659,92.37115136865432,5.0,2019.0,Middle_Mountains,2019-05-01,Pre-monsoon
1518,-27.98270210874558,-28.492089216308802,60.85110527303872,6.0,2019.0,Middle_Mountains,2019-06-01,Monsoon
1518,-30.195115034985502,-28.694317674414368,53.338109586607224,7.0,2019.0,Middle_Mountains,2019-07-01,Monsoon
1518,-12.962960089822742,-13.653506115351492,63.155584603198896,8.0,2019.0,Middle_Mountains,2019-08-01,Monsoon
1494,-4.467768894249244,-3.896134442031742,94.75190100207256,9.0,2019.0,Middle_Mountains,2019-09-01,Monsoon
1490,8.326083009084801,5.7891123443609995,76.47256317785781,10.0,2019.0,Middle_Mountains,2019-10-01,Post-monsoon
1498,58.11616811085453,56.19928440077251,134.17826520477644,11.0,2019.0,Middle_Mountains,2019-11-01,Post-monsoon
1492,343.57820589340014,328.3169567043005,233.7796744380985,12.0,2019.0,Middle_Mountains,2019-12-01,Winter
1381,306.20610531563227,299.62780075370506,295.73771434868513,1.0,2020.0,Middle_Mountains,2020-01-01,Winter
1388,145.4484207485211,106.4574069272618,320.5011475160436,2.0,2020.0,Middle_Mountains,2020-02-01,Winter
1308,29.304391124778377,23.15122694235861,162.74633338559286,3.0,2020.0,Middle_Mountains,2020-03-01,Pre-monsoon
1227,23.32853233429706,26.47614260451147,131.5795420944108,4.0,2020.0,Middle_Mountains,2020-04-01,Pre-monsoon
1297,-3.046848204094161,4.078273552878371,105.78259351123968,5.0,2020.0,Middle_Mountains,2020-05-01,Pre-monsoon
1514,-21.648299461962036,-26.795303291381224,73.76617468683611,6.0,2020.0,Middle_Mountains,2020-06-01,Monsoon
1481,-27.75283112335242,-26.895323622176267,105.69032223670368,7.0,2020.0,Middle_Mountains,2020-07-01,Monsoon
1280,-11.241966032992895,-10.949995279784671,140.75280300311502,8.0,2020.0,Middle_Mountains,2020-08-01,Monsoon
1177,-1.836199601893432,11.540211535947721,148.1113746461122,9.0,2020.0,Middle_Mountains,2020-09-01,Monsoon
1518,27.295467224598827,24.968367289451795,81.31542624654494,10.0,2020.0,Middle_Mountains,2020-10-01,Post-monsoon
1517,195.36688066322924,187.36544138477458,141.38747063452828,11.0,2020.0,Middle_Mountains,2020-11-01,Post-monsoon
1508,381.19934674032095,370.18669297705304,190.74903587388758,12.0,2020.0,Middle_Mountains,2020-12-01,Winter
1507,234.9457117262181,232.97277071362262,162.23339974938054,1.0,2021.0,Middle_Mountains,2021-01-01,Winter
1495,123.88717922618179,113.93782491345172,171.64309744256516,2.0,2021.0,Middle_Mountains,2021-02-01,Winter
1484,-73.32413886834118,-56.810710526191016,163.30609051944674,3.0,2021.0,Middle_Mountains,2021-03-01,Pre-monsoon
1482,34.97079940256958,34.33772722025592,109.95229456961519,4.0,2021.0,Middle_Mountains,2021-04-01,Pre-monsoon
1368,1.665305841659386,-3.844226519646245,133.9503945490113,5.0,2021.0,Middle_Mountains,2021-05-01,Pre-monsoon
1070,11.704360776671285,11.301149341300768,156.64173713613812,6.0,2021.0,Middle_Mountains,2021-06-01,Monsoon
1043,-38.827085176607895,-26.914708146195213,160.8012918205452,7.0,2021.0,Middle_Mountains,2021-07-01,Monsoon
896,18.816905524723932,7.993571403298973,235.37840257093092,8.0,2021.0,Middle_Mountains,2021-08-01,Monsoon
1257,11.175128984620592,11.082155642971108,128.64591185278542,9.0,2021.0,Middle_Mountains,2021-09-01,Monsoon
1517,17.11246703443062,16.94038565067202,96.21709226862579,10.0,2021.0,Middle_Mountains,2021-10-01,Post-monsoon
1508,204.2439969245408,201.63962261524583,154.11895321652304,11.0,2021.0,Middle_Mountains,2021-11-01,Post-monsoon
1481,317.2624324843854,298.04823153563643,220.65493784491164,12.0,2021.0,Middle_Mountains,2021-12-01,Winter
1292,352.35094170287704,327.73104470462835,364.63561642821946,1.0,2022.0,Middle_Mountains,2022-01-01,Winter
1219,172.10856172135885,114.21870294758595,340.8910128947157,2.0,2022.0,Middle_Mountains,2022-02-01,Winter
1428,7.811936020514053,7.851274229243061,138.67110947143735,3.0,2022.0,Middle_Mountains,2022-03-01,Pre-monsoon
1510,-7.270423164439668,-4.048297829516282,93.24092963130347,4.0,2022.0,Middle_Mountains,2022-04-01,Pre-monsoon
1405,45.28034327258815,42.334540368637484,115.87189168818459,5.0,2022.0,Middle_Mountains,2022-05-01,Pre-monsoon
1127,23.914479248675033,18.285406706776257,140.20288857843107,6.0,2022.0,Middle_Mountains,2022-06-01,Monsoon
1405,2.325847151917708,3.794149121206567,138.8731953086855,7.0,2022.0,Middle_Mountains,2022-07-01,Monsoon
1485,-2.7063541212746913,-1.6863606848304133,83.49717936108647,8.0,2022.0,Middle_Mountains,2022-08-01,Monsoon
1318,-1.2986326898603144,4.46251229498536,145.35585028353248,9.0,2022.0,Middle_Mountains,2022-09-01,Monsoon
1518,33.647178457073394,34.63713010946499,95.24718768037198,10.0,2022.0,Middle_Mountains,2022-10-01,Post-monsoon
1513,142.85761144650252,132.6586699083532,127.5230182742801,11.0,2022.0,Middle_Mountains,2022-11-01,Post-monsoon
1510,257.52970331697725,247.77524557378194,162.4446913341402,12.0,2022.0,Middle_Mountains,2022-12-01,Winter
1502,303.00111090998683,297.28085301434004,182.24885582056032,1.0,2023.0,Middle_Mountains,2023-01-01,Winter
1483,95.41785269665392,98.89977640901515,180.03378144719798,2.0,2023.0,Middle_Mountains,2023-02-01,Winter
1443,6.214045369185605,7.248238685235116,127.10759870018332,3.0,2023.0,Middle_Mountains,2023-03-01,Pre-monsoon
1473,18.434105245955156,11.434903575702364,106.51393085090278,4.0,2023.0,Middle_Mountains,2023-04-01,Pre-monsoon
1493,29.704572959314717,26.691130982633666,99.91394608228316,5.0,2023.0,Middle_Mountains,2023-05-01,Pre-monsoon
1511,7.069888275361877,5.799101667387244,85.36070275811721,6.0,2023.0,Middle_Mountains,2023-06-01,Monsoon
1351,-11.816129312438258,-23.519017005912097,204.81116071367484,7.0,2023.0,Middle_Mountains,2023-07-01,Monsoon
1162,1.1854690679390476,-3.923916204265785,165.64663605039112,8.0,2023.0,Middle_Mountains,2023-08-01,Monsoon
1481,12.996794120077142,11.300599805537045,113.03852832413692,9.0,2023.0,Middle_Mountains,2023-09-01,Monsoon
1506,15.498329702257916,10.954815744540877,114.25625623689271,10.0,2023.0,Middle_Mountains,2023-10-01,Post-monsoon
1511,152.86804167647213,148.6130482583445,136.57609165182248,11.0,2023.0,Middle_Mountains,2023-11-01,Post-monsoon
1457,348.6994128848941,342.5520778079719,217.20208039876144,12.0,2023.0,Middle_Mountains,2023-12-01,Winter
1433,406.4466993261449,382.26982318403327,301.75153076010406,1.0,2024.0,Middle_Mountains,2024-01-01,Winter
1367,228.44115308045218,199.23605185529962,335.81820850834333,2.0,2024.0,Middle_Mountains,2024-02-01,Winter
1460,16.27267852554355,22.636785781787975,153.60906512105305,3.0,2024.0,Middle_Mountains,2024-03-01,Pre-monsoon
1494,-16.29774602256436,-19.13667022370877,98.5433697422869,4.0,2024.0,Middle_Mountains,2024-04-01,Pre-monsoon
1507,-3.784829596340502,-7.269485818989308,125.30128226020547,5.0,2024.0,Middle_Mountains,2024-05-01,Pre-monsoon
1326,-3.573888696591364,-4.102378570188318,100.89320639310148,6.0,2024.0,Middle_Mountains,2024-06-01,Monsoon
1315,-28.35388793538066,-22.81676015652512,159.8541630347241,7.0,2024.0,Middle_Mountains,2024-07-01,Monsoon
1487,-2.332631103127268,-7.072728221707457,149.16571051782975,8.0,2024.0,Middle_Mountains,2024-08-01,Monsoon
1506,3.2342823167862482,4.259125214660657,94.82777925899484,9.0,2024.0,Middle_Mountains,2024-09-01,Monsoon
1516,10.017765839556981,4.0298331204014515,129.3893553317118,10.0,2024.0,Middle_Mountains,2024-10-01,Post-monsoon
1515,12.771298916764804,19.478484158241866,123.60957270442476,11.0,2024.0,Middle_Mountains,2024-11-01,Post-monsoon
1508,45.65779824892086,37.501566937620844,140.59989385888574,12.0,2024.0,Middle_Mountains,2024-12-01,Winter
1492,17.68749141457952,19.207241127688704,114.64960112665264,1.0,2025.0,Middle_Mountains,2025-01-01,Winter
1486,19.223282884579632,16.951586563996752,88.1617917752529,2.0,2025.0,Middle_Mountains,2025-02-01,Winter
1460,-0.08553760054646956,3.722861712908545,76.58796399590484,3.0,2025.0,Middle_Mountains,2025-03-01,Pre-monsoon
1496,0.6966985923943602,1.7534218473647507,56.93437743131054,4.0,2025.0,Middle_Mountains,2025-04-01,Pre-monsoon
1383,17.37668244129463,17.241814783715405,59.94046469696961,5.0,2025.0,Middle_Mountains,2025-05-01,Pre-monsoon
1444,30.242280357289808,24.776637610730326,89.06581897785134,6.0,2025.0,Middle_Mountains,2025-06-01,Monsoon
1332,16.27689623446294,17.31972398531375,66.8061464305006,7.0,2025.0,Middle_Mountains,2025-07-01,Monsoon
969,9.153905695343594,4.350744975427689,101.35459292307218,8.0,2025.0,Middle_Mountains,2025-08-01,Monsoon
1435,0.6072484084287604,1.9925011016533958,62.50232016293648,9.0,2025.0,Middle_Mountains,2025-09-01,Monsoon
1517,3.8666264834971584,6.4954299614336435,53.596765716051245,10.0,2025.0,Middle_Mountains,2025-10-01,Post-monsoon
1512,27.26128675699385,25.12927412914164,85.05610969814396,11.0,2025.0,Middle_Mountains,2025-11-01,Post-monsoon
1509,51.471962361462126,51.46646902638533,99.43945233049506,12.0,2025.0,Middle_Mountains,2025-12-01,Winter
1496,14.217500828025848,11.854093207778973,103.65737892947449,1.0,2026.0,Middle_Mountains,2026-01-01,Winter
1450,-19.657566603219994,-18.71533676149726,88.84032453142865,2.0,2026.0,Middle_Mountains,2026-02-01,Winter
1426,-12.258153300130642,-10.83734345412276,125.6724539014846,3.0,2026.0,Middle_Mountains,2026-03-01,Pre-monsoon
1480,-4.72102935596264,-3.585647407465366,62.147737531072494,4.0,2026.0,Middle_Mountains,2026-04-01,Pre-monsoon
