UVAI_count,UVAI_mean,UVAI_median,UVAI_stdDev,month,year,zone,date,season
1449,-0.4630857220156177,-0.488046946168992,0.3103717770857916,2.0,2024.0,High_Mountains,2024-02-01,Winter
1449,-0.4450155606948447,-0.446923602246178,0.3435651207441738,3.0,2024.0,High_Mountains,2024-03-01,Pre-monsoon
1449,-0.249855482595263,-0.2610280400803936,0.3250749434133817,4.0,2024.0,High_Mountains,2024-04-01,Pre-monsoon
1449,-0.3854053287555948,-0.387265323265714,0.2585808229531786,5.0,2024.0,High_Mountains,2024-05-01,Pre-monsoon
1449,-0.4260665429504925,-0.4297096600961236,0.3218614852809761,6.0,2024.0,High_Mountains,2024-06-01,Monsoon
1449,-0.6575610342090022,-0.6371313853251741,0.1999288178609395,7.0,2024.0,High_Mountains,2024-07-01,Monsoon
1449,-0.7419142854481295,-0.7227437212122213,0.2301440053158123,8.0,2024.0,High_Mountains,2024-08-01,Monsoon
1449,-0.7425148576628209,-0.7220692843230112,0.197517761903032,9.0,2024.0,High_Mountains,2024-09-01,Monsoon
1449,-0.4475257391298754,-0.523919409015371,0.4168572341082842,10.0,2024.0,High_Mountains,2024-10-01,Post-monsoon
1449,-0.1391068059842436,-0.1784508650641534,0.4249030200600405,11.0,2024.0,High_Mountains,2024-11-01,Post-monsoon
1449,-0.2027588192525473,-0.2743055257892793,0.4013884407573033,12.0,2024.0,High_Mountains,2024-12-01,Winter
1449,-0.4342159327479864,-0.4615663565125552,0.4080156575352382,1.0,2025.0,High_Mountains,2025-01-01,Winter
1449,-0.3554190984862792,-0.3831225904929266,0.3330678486798199,2.0,2025.0,High_Mountains,2025-02-01,Winter
1449,-0.3505495678820117,-0.3522550508474268,0.3642340716420722,3.0,2025.0,High_Mountains,2025-03-01,Pre-monsoon
1449,-0.3776478560520648,-0.4017202282259001,0.2685043121237069,4.0,2025.0,High_Mountains,2025-04-01,Pre-monsoon
1449,-0.565597072099473,-0.5512610342121452,0.2552525523299003,5.0,2025.0,High_Mountains,2025-05-01,Pre-monsoon
1449,-0.575858617013072,-0.5588076048218273,0.2565924453337398,6.0,2025.0,High_Mountains,2025-06-01,Monsoon
1449,-0.6788963421456503,-0.652284390931207,0.20847007117104,7.0,2025.0,High_Mountains,2025-07-01,Monsoon
1449,-0.7187971026277495,-0.6832647298960421,0.2270240696827906,8.0,2025.0,High_Mountains,2025-08-01,Monsoon
1449,-0.7363847710969338,-0.7307107665599859,0.2366228606407276,9.0,2025.0,High_Mountains,2025-09-01,Monsoon
1449,-0.6105274509307633,-0.6962507929785122,0.3669334005368333,10.0,2025.0,High_Mountains,2025-10-01,Post-monsoon
1449,-0.8106592779772482,-0.7750901657640475,0.4300475323641546,11.0,2025.0,High_Mountains,2025-11-01,Post-monsoon
1449,-0.4286603086050439,-0.4457580859917245,0.3720385672033794,12.0,2025.0,High_Mountains,2025-12-01,Winter
1449,-0.242212524614681,-0.2528483424250795,0.2776289447140623,1.0,2026.0,High_Mountains,2026-01-01,Winter
1449,-0.4811064887808038,-0.4885876994988721,0.3145289617670119,2.0,2026.0,High_Mountains,2026-02-01,Winter
1449,-0.2198269895530693,-0.2260775010643347,0.2738407454112945,3.0,2026.0,High_Mountains,2026-03-01,Pre-monsoon
1449,-0.1929745160058015,-0.1827745578121,0.2893212541729869,4.0,2026.0,High_Mountains,2026-04-01,Pre-monsoon
1449,-0.2827574999717894,-0.2697047815653429,0.2449546186143372,5.0,2026.0,High_Mountains,2026-05-01,Pre-monsoon
1449,-0.3697392181814509,-0.3715325028337093,0.2834958362830996,6.0,2026.0,High_Mountains,2026-06-01,Monsoon
1449,-0.500095040478474,-0.4649043639318087,0.2050440127334526,7.0,2026.0,High_Mountains,2026-07-01,Monsoon
1449,-0.8961397933155167,-0.8650813256308045,0.4161906313883993,8.0,2026.0,High_Mountains,2026-08-01,Monsoon
1518,-1.0478240167506012,-1.0668958588447015,0.1915681165245939,1.0,2019.0,Middle_Mountains,2019-01-01,Winter
1518,-1.1506782319352278,-1.190777528211543,0.2189143170460289,2.0,2019.0,Middle_Mountains,2019-02-01,Winter
1518,-1.215635003755274,-1.2574323886940224,0.2590693966106622,3.0,2019.0,Middle_Mountains,2019-03-01,Pre-monsoon
1518,-1.0063701816809487,-1.0431708193588898,0.3133665069462956,4.0,2019.0,Middle_Mountains,2019-04-01,Pre-monsoon
1518,-0.9644305214960014,-0.9908757495682488,0.3380215675468302,5.0,2019.0,Middle_Mountains,2019-05-01,Pre-monsoon
1518,-1.0937688597896271,-1.1218045720300238,0.3391129677181301,6.0,2019.0,Middle_Mountains,2019-06-01,Monsoon
1518,-1.0270960840270025,-1.0035414245651495,0.3017048068889847,7.0,2019.0,Middle_Mountains,2019-07-01,Monsoon
1518,-1.2115732757546267,-1.1953664513591755,0.3824243362015779,8.0,2019.0,Middle_Mountains,2019-08-01,Monsoon
1518,-1.1656330952483298,-1.1210304780136664,0.338051953140664,9.0,2019.0,Middle_Mountains,2019-09-01,Monsoon
1518,-1.391013845413384,-1.4256627953179215,0.260345979043366,10.0,2019.0,Middle_Mountains,2019-10-01,Post-monsoon
1518,-1.344365667865243,-1.3783251221595136,0.2478039871745873,11.0,2019.0,Middle_Mountains,2019-11-01,Post-monsoon
1518,-1.4509084564243886,-1.4640720061728354,0.2321679521639709,12.0,2019.0,Middle_Mountains,2019-12-01,Winter
1518,-1.4480751529053162,-1.4883227453841987,0.2547564350885644,1.0,2020.0,Middle_Mountains,2020-01-01,Winter
1518,-1.483181742100219,-1.5703491112130537,0.3834347567635688,2.0,2020.0,Middle_Mountains,2020-02-01,Winter
1518,-1.5422738895156978,-1.586681937210611,0.2896304272533301,3.0,2020.0,Middle_Mountains,2020-03-01,Pre-monsoon
1518,-1.338020277798068,-1.378989466928432,0.2979856232958066,4.0,2020.0,Middle_Mountains,2020-04-01,Pre-monsoon
1518,-1.326306247401229,-1.3643377037160762,0.312247329081963,5.0,2020.0,Middle_Mountains,2020-05-01,Pre-monsoon
1518,-1.278181048327374,-1.2532646854246023,0.3409644457116954,6.0,2020.0,Middle_Mountains,2020-06-01,Monsoon
1518,-1.155853094176634,-1.089786613738776,0.2901581118121372,7.0,2020.0,Middle_Mountains,2020-07-01,Monsoon
1518,-1.2730011203118006,-1.1944537984201722,0.3971962598308054,8.0,2020.0,Middle_Mountains,2020-08-01,Monsoon
1518,-1.4326732817420995,-1.369297540040162,0.4040994163645209,9.0,2020.0,Middle_Mountains,2020-09-01,Monsoon
1518,-1.5888327517394176,-1.6337914821880688,0.277953151657554,10.0,2020.0,Middle_Mountains,2020-10-01,Post-monsoon
1518,-1.6403136653752888,-1.6527204151340669,0.2043918632163068,11.0,2020.0,Middle_Mountains,2020-11-01,Post-monsoon
1518,-1.5115461951415232,-1.5354543044412834,0.2778576050408012,12.0,2020.0,Middle_Mountains,2020-12-01,Winter
1518,-1.527456604423554,-1.5736186421541811,0.3167741445975334,1.0,2021.0,Middle_Mountains,2021-01-01,Winter
1518,-1.530513852095034,-1.597665548129754,0.3079697038195264,2.0,2021.0,Middle_Mountains,2021-02-01,Winter
1518,-1.1699879888849791,-1.2427577604937368,0.365237002887141,3.0,2021.0,Middle_Mountains,2021-03-01,Pre-monsoon
1518,-1.0713633280786696,-1.0504643860546004,0.2959309426786961,4.0,2021.0,Middle_Mountains,2021-04-01,Pre-monsoon
1518,-1.428476350250096,-1.3867179344942469,0.3240058962996981,5.0,2021.0,Middle_Mountains,2021-05-01,Pre-monsoon
1518,-1.394571692622313,-1.363908569980779,0.3241404704949598,6.0,2021.0,Middle_Mountains,2021-06-01,Monsoon
1518,-1.01616950338263,-1.0047382587772875,0.2154943548167804,7.0,2021.0,Middle_Mountains,2021-07-01,Monsoon
1518,-1.01461432419885,-0.98774674676296,0.2310176622946855,8.0,2021.0,Middle_Mountains,2021-08-01,Monsoon
1518,-1.0630840759373454,-1.0738095359115185,0.2312713260050065,9.0,2021.0,Middle_Mountains,2021-09-01,Monsoon
1518,-0.7272037605719237,-0.7234346993769356,0.2184833278385165,10.0,2021.0,Middle_Mountains,2021-10-01,Post-monsoon
1518,-0.2787275532815122,-0.275615756226831,0.2814632405790844,11.0,2021.0,Middle_Mountains,2021-11-01,Post-monsoon
1518,-0.414478885017788,-0.3497664610794462,0.2944391033932193,12.0,2021.0,Middle_Mountains,2021-12-01,Winter
1518,-0.7092110262732053,-0.6832990479386573,0.2635526387562613,1.0,2022.0,Middle_Mountains,2022-01-01,Winter
1518,-0.7614391164230189,-0.7110271389390944,0.3072526184012858,2.0,2022.0,Middle_Mountains,2022-02-01,Winter
